,,Avg. Jaccard-Coeff.,Avg. Spearman's Rank,Avg. Spearman's Rank
,,,r,p-value
"('Dataset', '')","('Position', '')",,,
df_10_new,1.0,0.33,0.51,0.13
df_10_new,3.0,0.33,0.53,0.12
df_10_new,5.0,0.31,0.51,0.17
df_10_new,8.0,0.29,0.49,0.2
df_10_new,10.0,0.29,0.47,0.18
df_20_new,1.0,0.28,0.5,0.13
df_20_new,5.0,0.28,0.5,0.18
df_20_new,10.0,0.26,0.51,0.16
df_20_new,15.0,0.28,0.51,0.19
df_20_new,20.0,0.27,0.46,0.17
df_30_new,1.0,0.27,0.56,0.1
df_30_new,8.0,0.24,0.38,0.22
df_30_new,15.0,0.22,0.44,0.21
df_30_new,23.0,0.24,0.41,0.23
df_30_new,30.0,0.25,0.46,0.16
df_40_new,1.0,0.28,0.45,0.2
df_40_new,10.0,0.21,0.44,0.22
df_40_new,20.0,0.24,0.49,0.18
df_40_new,30.0,0.24,0.46,0.24
df_40_new,40.0,0.24,0.42,0.16
